Country,Fund,Amount (€)
Belgium,European Regional Development Fund,989620728
Belgium,European Social Fund,1073217594
Bulgaria,Cohesion Fund,2283036165
Bulgaria,European Regional Development Fund,3205132216
Bulgaria,European Social Fund,1185459863
Czech Republic,Cohesion Fund,8819022439
Czech Republic,European Regional Development Fund,13932831854
Czech Republic,European Social Fund,3787795992
Denmark,European Regional Development Fund,254788620
Denmark,European Social Fund,254788619
Germany,European Regional Development Fund,16107313706
Germany,European Social Fund,9380654763
Estonia,Cohesion Fund,1151731446
Estonia,European Regional Development Fund,1860211106
Estonia,European Social Fund,391517329
Ireland,European Regional Development Fund,375362372
Ireland,European Social Fund,375362370
Greece,Cohesion Fund,3697160864
Greece,European Regional Development Fund,12149300178
Greece,European Social Fund,4363800403
Spain,Cohesion Fund,3543213008
Spain,European Regional Development Fund,23052671624
Spain,European Social Fund,8073022222
France,European Regional Development Fund,8051760586
France,European Social Fund,5494547990
Croatia,Cohesion Fund,281099011
Croatia,European Regional Development Fund,424762900
Croatia,European Social Fund,152413106
Italy,European Regional Development Fund,20992070961
Italy,European Social Fund,6960542469
Cyprus,Cohesion Fund,213204484
Cyprus,European Regional Development Fund,279461354
Cyprus,European Social Fund,119769154
Latvia,Cohesion Fund,1539776553
Latvia,European Regional Development Fund,2407567364
Latvia,European Social Fund,583103717
Lithuania,Cohesion Fund,2305235743
Lithuania,European Regional Development Fund,3441950353
Lithuania,European Social Fund,1028306727
Luxembourg,European Regional Development Fund,25243666
Luxembourg,European Social Fund,25243666
Hungary,Cohesion Fund,8642316217
Hungary,European Regional Development Fund,12638528106
Hungary,European Social Fund,3626879916
Malta,Cohesion Fund,284145020
Malta,European Regional Development Fund,443978031
Malta,European Social Fund,112000000
Netherlands,European Regional Development Fund,830000000
Netherlands,European Social Fund,830002737
Austria,European Regional Development Fund,680066021
Austria,European Social Fund,524412560
Poland,Cohesion Fund,22387151159
Poland,European Regional Development Fund,34791000148
Poland,European Social Fund,10007397937
Portugal,Cohesion Fund,3059965525
Portugal,European Regional Development Fund,11498207122
Portugal,European Social Fund,6853387865
Romania,Cohesion Fund,6522216180
Romania,European Regional Development Fund,8851294343
Romania,European Social Fund,3684147618
Slovenia,Cohesion Fund,1411569858
Slovenia,European Regional Development Fund,1933779408
Slovenia,European Social Fund,755699370
Slovakia,Cohesion Fund,3898738563
Slovakia,European Regional Development Fund,6099989765
Slovakia,European Social Fund,1497739439
Finland,European Regional Development Fund,977401980
Finland,European Social Fund,618564064
Sweden,European Regional Development Fund,934540730
Sweden,European Social Fund,691551158
United Kingdom,European Regional Development Fund,5392019735
United Kingdom,European Social Fund,4498917728
European Union,Cohesion Fund,70000000000
European Union,European Regional Development Fund,201000000000
European Union,European Social Fund,76000000000
